V9001,descricao.produto,tru.cod,tru.desc,produto.intermediacao,produto.intermediacao.internacional,produto.intermediacao.49002,produto.intermediacao.50001,produto.intermediacao.51001,produto.intermediacao.55001,produto.intermediacao.56001,produto.intermediacao.90801
2400741,QUEIIJO POLENGUINHO,56001,Serviços  de alimentação,,,,,,,,
2400742,ROSCA SALGADA,56001,Serviços  de alimentação,,,,,,,,
2400743,PIZZA,56001,Serviços  de alimentação,,,,,,,,
2400801,BISCOITO SALGADO,56001,Serviços  de alimentação,,,,,,,,
2400802,BOLACHA SALGADA,56001,Serviços  de alimentação,,,,,,,,
2400803,TORRADA SALGADA,56001,Serviços  de alimentação,,,,,,,,
2400901,BISCOITO DOCE,56001,Serviços  de alimentação,,,,,,,,
2400902,BOLACHA DOCE,56001,Serviços  de alimentação,,,,,,,,
2400903,TORRADA DOCE,56001,Serviços  de alimentação,,,,,,,,
2401001,BALA OU CHICLETE,56001,Serviços  de alimentação,,,,,,,,
2401002,BALA,56001,Serviços  de alimentação,,,,,,,,
2401003,CHICLETE,56001,Serviços  de alimentação,,,,,,,,
2401004,PIRULITO,56001,Serviços  de alimentação,,,,,,,,
2401101,"CHOCOLATE EM BARRA, TABLETE OU BOMBOM",56001,Serviços  de alimentação,,,,,,,,
2401102,CHOCOLATE EM BARRA,56001,Serviços  de alimentação,,,,,,,,
2401103,CHOCOLATE EM TABLETE,56001,Serviços  de alimentação,,,,,,,,
2401104,BOMBOM,56001,Serviços  de alimentação,,,,,,,,
2401105,OVO DE PASCOA,56001,Serviços  de alimentação,,,,,,,,
2401201,SORVETE,56001,Serviços  de alimentação,,,,,,,,
2401202,PICOLE,56001,Serviços  de alimentação,,,,,,,,
2401203,DINDIM (SACOLE),56001,Serviços  de alimentação,,,,,,,,
2401204,SACOLE,56001,Serviços  de alimentação,,,,,,,,
2401205,GELADINHO,56001,Serviços  de alimentação,,,,,,,,
2401301,SORVETE DIET,56001,Serviços  de alimentação,,,,,,,,
2401401,FRUTA,56001,Serviços  de alimentação,,,,,,,,
2401402,BANANA,56001,Serviços  de alimentação,,,,,,,,
2401403,LARANJA,56001,Serviços  de alimentação,,,,,,,,
2401404,MACA,56001,Serviços  de alimentação,,,,,,,,
2401405,MANGA,56001,Serviços  de alimentação,,,,,,,,
2401406,PERA,56001,Serviços  de alimentação,,,,,,,,
2401501,IOGURTE,56001,Serviços  de alimentação,,,,,,,,
2401601,DOCE OU BOLO,56001,Serviços  de alimentação,,,,,,,,
2401602,DOCE,56001,Serviços  de alimentação,,,,,,,,
2401603,BOLO,56001,Serviços  de alimentação,,,,,,,,
2401604,TORTA DOCE,56001,Serviços  de alimentação,,,,,,,,
2401605,COCADA,56001,Serviços  de alimentação,,,,,,,,
2401606,PUDIM,56001,Serviços  de alimentação,,,,,,,,
