V9001;descricao.produto;cnae;pas;tru.cod;tru.desc;discrepancias;produto.intermediacao;produto.intermediacao.internacional;produto.intermediacao.49002;produto.intermediacao.50001;produto.intermediacao.51001;produto.intermediacao.55001;produto.intermediacao.56001;produto.intermediacao.90801;POF2009
2400201;ALMOCO OU JANTAR A LA CARTE;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400202;ALMOCO A LA CARTE;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400203;JANTAR A LA CARTE;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400204;ALMOCO A LA CARTE E BEBIDA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400205;JANTAR A LA CARTE E BEBIDA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400206;ALMOCO A LA CARTE E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400207;JANTAR A LA CARTE E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400208;ALMOCO A LA CARTE, BEBIDA E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400209;JANTAR A LA CARTE, BEBIDA E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400301;ALMOCO OU JANTAR (PRATO FEITO);24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400401;REFEICAO FAST FOOD;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400402;REFEICAO FAST FOOD E BEBIDA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400403;REFEICAO FAST FOOD E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400404;REFEICAO FAST FOOD, BEBIDA E SOBREMESA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400501;PAO (COM OU SEM MANTEIGA, REQUEIJAO, POLENGUINHO, ETC.);24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400502;PAO COM MANTEIGA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400503;PAO SEM MANTEIGA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400504;PAO COM REQUEIJAO;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400505;PAO SEM REQUEIJAO;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400506;PAO COM POLENGUINHO;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400507;PAO SEM POLENGUINHO;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400508;PAO NA CHAPA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400601;SANDUICHE (CACHORRO QUENTE, HAMBURGUER, MISTO QUENTE, ETC.);24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400602;CACHORRO QUENTE;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400603;HAMBURGUER;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400604;CHEESE BURGUER;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400605;CHEESE SALADA;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
2400606;CHEESE EGG;24;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;
